date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
107年 6月,3274,3366,1765,2052,1822,2003,587,565,430,1089,496,563,562,865,244,449,65,474,441,307,63,2
107年 7月,3666,3506,1947,2223,2134,2255,595,548,460,1184,585,731,532,910,190,531,80,566,383,347,84,4
107年 8月,3602,3585,1791,2266,1967,2075,626,581,587,1187,518,710,550,989,341,537,66,606,333,332,67,6
107年 9月,3355,3274,1756,2183,1959,2271,475,526,500,1158,484,604,487,842,266,493,62,516,246,332,78,7
107年 10月,3860,3357,1623,2040,2001,2334,592,551,574,1160,511,656,563,849,277,504,70,463,289,274,93,1
107年 11月,3206,3041,1515,1857,1924,2059,523,494,475,1053,522,597,597,719,216,487,122,463,327,240,63,6
107年 12月,3183,3333,1378,1946,1770,2120,453,451,521,912,459,455,484,776,281,446,78,430,361,251,222,40
108年 1月,3171,3320,1866,2008,2072,2262,500,504,460,1101,559,659,494,887,321,580,84,459,316,297,69,6
108年 2月,2513,2400,1261,1503,1591,1692,423,357,327,716,447,455,367,599,227,409,48,333,247,227,65,4
108年 3月,3258,3157,1578,2085,2026,2353,584,504,387,1188,546,719,597,881,303,532,77,540,391,325,71,6
108年 4月,3104,3106,1509,1825,2006,2228,524,468,357,1106,541,634,458,833,262,466,74,465,357,241,87,10
108年 5月,2905,3079,1702,2019,1865,2203,547,534,400,1031,555,669,511,691,236,563,109,425,364,253,77,3
108年 6月,3191,2788,1460,1934,1826,1986,508,470,404,1052,510,623,473,768,233,487,69,386,392,254,77,8
108年 7月,3442,3442,1754,2171,1969,2111,562,613,403,1055,557,736,524,732,257,532,132,391,367,310,72,10
108年 8月,3206,3255,1907,2332,1825,2169,605,573,399,1197,526,764,483,790,229,541,82,491,400,320,91,9
108年 9月,3114,2889,1577,2235,1889,2008,515,549,435,999,477,640,479,793,228,453,79,358,337,295,77,16
108年 10月,3222,3194,1584,2059,1770,2051,500,591,442,1053,493,634,433,803,232,418,87,351,299,280,64,8
108年 11月,2953,3190,1632,1971,1715,2082,466,528,465,920,399,617,444,831,186,446,76,385,338,250,67,5
