date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
92年 10月,5356,3020,2817,4556,2123,3815,338,497,589,1300,427,727,336,914,185,310,28,422,823,531,24,－
92年 11月,4846,2516,2683,4080,1642,3569,374,455,501,892,406,696,289,767,111,273,33,349,612,472,22,5
92年 12月,5129,2548,2431,4019,1681,3478,318,356,492,1035,421,652,275,814,103,280,14,387,577,466,11,2
93年 1月,3825,2071,2127,3426,1461,2988,285,449,457,837,336,483,246,668,131,243,21,418,620,406,10,9
93年 2月,4466,2142,2286,3780,1544,3441,260,381,461,1057,357,565,258,753,104,238,22,352,763,462,10,2
93年 3月,4972,2305,2403,4205,1706,3788,325,470,501,1151,484,635,326,872,106,274,22,409,899,537,12,2
93年 4月,4902,2483,2429,4028,1780,3607,300,352,552,984,382,483,289,1049,103,264,27,333,695,522,20,－
93年 5月,5321,2666,2789,4306,1882,3466,264,600,567,1251,563,683,316,931,138,347,19,435,783,526,12,1
93年 6月,5216,2532,2852,4410,2002,3134,348,529,534,1253,455,561,286,823,137,295,15,378,736,402,15,2
93年 7月,5537,2577,2804,4678,1806,3148,316,628,557,1193,474,563,268,776,117,288,19,367,725,425,18,－
93年 8月,5572,2614,2857,4928,1898,3273,324,636,588,1161,495,725,275,946,191,390,28,395,716,425,15,5
93年 9月,6328,2533,3294,4893,2101,3504,335,700,545,1280,600,808,329,982,145,371,32,480,664,505,22,－
93年 10月,6578,2618,3421,4724,2238,3905,360,634,558,1350,481,709,380,1142,152,420,37,487,714,491,14,4
93年 11月,6688,2529,3159,4818,2070,3737,315,698,522,1147,484,732,324,973,149,379,34,529,752,523,14,2
93年 12月,6406,2411,3272,4244,2151,3718,359,628,447,1025,511,665,344,923,118,375,42,421,654,502,9,3
94年 1月,5619,2225,2847,4031,1871,3221,333,581,450,1023,482,636,343,723,169,396,51,387,644,480,10,2
94年 2月,4616,1755,2205,3225,1421,2689,242,470,395,807,392,531,261,597,118,325,34,272,417,338,10,1
94年 3月,5427,2236,3271,4121,1840,3405,329,596,525,1168,515,695,367,749,147,437,27,328,609,498,10,1
94年 4月,5394,2183,3215,3673,2103,3618,343,640,502,1128,533,706,299,698,106,346,33,321,544,352,16,2
94年 5月,5930,2189,3232,3771,1753,3784,417,625,486,1114,487,689,318,810,143,391,35,352,550,441,21,2
94年 6月,5894,2238,3210,4121,1669,3559,380,623,544,1126,458,683,267,605,137,346,31,377,574,380,13,－
94年 7月,5768,2147,3518,4358,1825,3556,387,599,545,1105,444,689,333,601,175,360,28,390,570,389,19,2
94年 8月,6090,2441,3959,4450,2103,3962,375,530,580,1164,542,690,338,665,157,337,50,454,577,380,18,4
94年 9月,5885,2139,3654,4556,1879,4302,391,721,539,984,585,527,258,696,120,342,25,562,518,364,14,1
94年 10月,6203,2355,3453,4915,2163,4312,376,649,551,967,538,525,231,716,131,257,26,474,614,419,14,1
94年 11月,5948,2330,2963,4725,2161,3844,367,534,470,925,471,513,267,804,116,251,29,288,561,438,18,2
94年 12月,5726,2255,2462,4146,2029,3737,347,529,352,862,431,527,247,786,89,276,19,304,513,362,15,2
95年 1月,5079,2049,2449,4075,2010,3436,332,502,465,915,453,532,260,697,140,341,36,357,395,336,7,3
95年 2月,5013,1951,2331,3607,1844,3086,277,499,433,711,439,448,218,672,107,269,27,330,407,313,7,2
95年 3月,5142,1905,2437,3965,1837,3208,338,513,456,814,380,528,237,707,94,302,22,208,416,318,12,－
95年 4月,5134,1854,2879,3769,1883,2818,351,571,460,903,418,488,264,723,83,286,39,311,525,370,16,4
95年 5月,5258,1937,2784,3843,2025,2712,312,506,436,1055,454,541,289,558,109,292,20,258,607,381,21,2
95年 6月,4807,1803,2592,3519,2004,2519,282,435,367,957,496,462,242,568,100,263,22,332,549,377,21,－
95年 7月,4861,1970,2794,3568,1794,2715,339,565,323,924,490,571,282,612,226,291,24,298,563,415,19,－
95年 8月,5017,1952,2886,3860,1890,2989,376,525,409,1072,502,658,299,732,206,306,34,286,365,389,11,－
95年 9月,4648,1939,2717,3546,1550,3027,307,495,374,964,459,711,316,649,100,338,43,273,421,347,27,1
95年 10月,5216,2065,2505,3599,1656,3094,337,450,393,742,444,603,347,642,115,286,25,256,400,421,20,1
95年 11月,4728,1856,2246,3076,1651,2967,295,402,322,713,356,570,287,585,145,351,25,249,427,321,12,1
