date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
106年 5月,113,252,64,27,169,195,40,32,7,53,16,31,25,39,4,11,3,22,18,－,8,－
106年 6月,147,254,127,26,164,200,33,35,10,54,18,29,34,53,7,10,1,41,7,3,6,－
106年 7月,107,224,40,27,155,186,42,26,19,61,20,29,44,27,1,11,4,23,－,1,6,－
106年 8月,137,212,46,17,176,194,51,30,18,47,28,28,23,50,5,20,4,25,1,－,2,－
106年 9月,119,232,37,10,161,183,47,20,2,62,15,25,25,45,9,11,3,40,25,－,7,1
106年 10月,135,280,36,5,154,186,40,17,7,70,24,25,26,30,3,18,3,21,14,－,5,－
106年 11月,152,297,22,10,190,166,48,43,14,68,17,29,17,30,17,14,2,40,27,－,7,－
106年 12月,132,183,1,22,159,175,30,34,5,70,13,30,29,31,4,24,5,23,38,－,1,－
107年 1月,188,277,31,39,184,172,38,40,6,61,21,24,26,48,10,24,2,26,20,1,6,－
107年 2月,143,148,19,21,141,149,21,21,2,66,15,31,23,26,8,15,3,19,15,－,9,－
107年 3月,188,273,54,33,165,200,41,50,7,77,17,40,25,25,10,27,2,28,35,1,2,－
107年 4月,167,287,16,34,185,150,59,46,1,65,18,41,38,39,8,20,2,29,13,－,6,－
107年 5月,150,238,17,35,217,219,33,47,5,87,23,36,36,22,9,22,4,38,12,－,8,－
107年 6月,207,332,20,41,226,199,46,53,18,56,25,8,32,10,7,13,2,24,11,－,4,－
107年 7月,180,238,16,38,191,190,29,37,14,62,19,12,38,19,7,21,2,23,20,－,5,－
107年 8月,216,273,23,54,169,203,41,34,17,59,20,14,29,15,15,10,4,26,11,1,2,－
107年 9月,212,267,19,44,154,171,36,30,12,53,22,11,22,19,11,21,5,47,2,1,5,－
107年 10月,284,255,17,21,155,211,60,37,22,90,19,16,35,19,8,15,5,27,25,－,7,－
107年 11月,160,263,14,21,176,183,51,37,28,74,15,15,29,13,8,25,4,29,18,－,4,－
107年 12月,190,247,14,22,171,189,50,38,26,71,32,6,28,9,17,18,3,35,20,6,10,－
108年 1月,192,265,21,35,180,218,53,43,15,79,17,17,38,12,17,19,10,36,14,2,7,－
108年 2月,177,213,11,31,106,162,41,45,6,45,26,9,27,8,8,15,3,21,13,1,5,－
108年 3月,248,288,69,30,194,247,55,43,6,81,27,19,35,28,15,29,2,34,19,－,5,－
108年 4月,232,287,61,27,234,236,60,38,8,89,25,10,34,21,11,20,3,31,28,－,10,－
108年 5月,224,303,32,47,203,205,54,51,10,60,27,28,36,35,14,35,5,14,18,－,7,－
108年 6月,223,227,41,35,198,203,46,32,3,62,17,17,30,43,5,19,3,13,32,－,4,－
108年 7月,283,310,32,64,211,206,52,46,15,88,21,19,36,82,11,30,2,17,16,－,6,－
108年 8月,182,217,36,53,197,189,46,52,14,64,33,38,26,29,18,28,6,38,17,－,1,－
108年 9月,172,233,30,44,176,169,47,43,20,63,13,20,21,27,8,19,6,32,16,1,4,－
108年 10月,207,252,8,57,220,194,41,41,28,88,24,48,28,29,8,13,6,30,14,－,4,－
108年 11月,229,305,18,53,200,183,47,42,29,84,18,22,36,23,12,13,9,33,13,6,7,1
108年 12月,192,259,49,77,192,199,50,46,27,97,21,36,34,35,12,15,6,43,20,9,4,－
109年 1月,118,261,18,67,174,138,39,29,14,68,21,26,33,21,8,20,6,32,14,2,6,－
109年 2月,154,255,15,57,183,224,55,56,18,90,24,25,35,58,8,27,6,35,11,1,6,－
109年 3月,164,295,9,81,224,257,58,58,8,95,27,41,31,19,14,18,4,36,33,－,9,－
109年 4月,151,274,3,54,244,218,51,43,9,89,20,22,31,24,14,19,2,34,18,－,7,－
109年 5月,171,288,9,20,241,229,43,63,5,99,21,16,28,5,11,7,8,49,19,－,8,－
109年 6月,186,234,3,21,228,185,55,37,8,93,33,14,41,29,13,10,3,24,13,－,8,－
109年 7月,122,257,6,33,228,171,45,59,8,95,30,20,37,45,11,23,6,25,17,－,5,－
109年 8月,86,278,13,46,201,191,54,49,12,109,18,16,43,44,15,16,5,29,17,－,7,－
109年 9月,113,296,10,78,266,197,52,55,22,78,30,15,38,37,8,15,8,27,15,1,4,－
109年 10月,96,269,7,68,208,189,53,41,15,84,28,13,33,42,9,7,3,28,12,14,3,－
109年 11月,138,310,15,79,201,177,66,38,18,152,31,19,30,30,11,11,4,49,18,14,7,－
109年 12月,205,317,6,61,234,234,74,59,12,137,33,11,42,27,15,6,10,27,15,11,11,－
110年 1月,112,337,22,66,202,192,64,39,19,154,39,13,41,31,13,14,6,32,27,8,6,1
110年 2月,86,231,24,51,152,154,48,37,16,69,27,20,20,25,9,8,5,19,1,2,4,1
110年 3月,124,272,27,101,244,303,76,59,11,75,34,24,42,23,20,11,8,45,11,－,8,－
110年 4月,114,235,5,76,233,271,81,51,15,58,31,37,50,24,12,8,3,30,－,2,3,－
110年 5月,138,349,31,50,228,281,59,46,17,76,31,28,57,26,9,16,4,27,17,－,9,1
110年 6月,152,224,66,75,245,309,64,68,31,96,24,39,43,29,9,8,3,40,69,8,3,1
110年 7月,177,316,129,138,300,216,73,55,41,98,30,33,39,36,14,13,9,29,36,1,5,2
110年 8月,145,397,55,119,254,280,60,54,30,72,35,28,53,54,11,9,6,27,44,3,5,－
110年 9月,144,326,19,128,238,195,45,58,54,80,34,31,43,50,7,10,5,28,21,－,7,－
110年 10月,176,267,27,127,209,222,53,54,24,84,27,31,43,44,11,16,9,28,19,1,3,－
110年 11月,191,235,59,119,218,179,55,62,21,93,34,36,47,57,11,10,11,23,16,－,5,1
110年 12月,190,261,78,92,184,190,45,55,8,114,28,27,33,70,12,4,2,24,28,－,11,－
