date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
107年 9月,11,10,7,1,9,13,4,1,－,5,6,2,1,2,－,2,－,3,－,2,1,－
107年 10月,10,13,5,6,10,13,5,2,5,1,2,－,3,5,－,6,－,2,－,－,－,－
107年 11月,10,14,3,4,4,7,2,1,－,3,6,1,3,2,－,2,2,3,－,2,2,－
107年 12月,10,5,3,5,7,13,1,2,1,5,6,2,1,4,－,3,－,1,－,5,－,－
108年 1月,14,10,4,3,5,8,－,3,2,3,6,1,4,3,－,－,2,3,1,1,1,－
108年 2月,8,5,5,2,12,12,3,2,－,2,3,2,－,5,－,－,－,－,1,1,1,－
108年 3月,11,13,5,1,5,6,6,2,－,2,8,3,1,－,－,1,－,4,－,－,1,－
108年 4月,5,8,－,7,7,6,2,2,1,7,3,2,－,1,－,6,2,3,1,2,3,－
108年 5月,12,8,5,4,4,6,3,1,2,5,4,6,－,2,1,6,－,3,1,2,－,－
108年 6月,6,6,4,5,4,8,1,－,2,4,6,2,2,1,－,3,1,4,1,3,2,－
108年 7月,10,6,2,9,8,13,4,4,2,3,3,7,4,5,－,4,3,5,－,2,1,－
108年 8月,10,9,3,2,7,7,2,1,2,5,5,2,3,1,－,－,1,10,1,3,1,－
108年 9月,3,9,5,4,5,5,2,1,－,4,8,1,－,－,－,3,1,5,－,1,1,－
108年 10月,12,3,8,9,5,6,－,－,2,2,5,2,2,6,－,2,1,2,－,2,1,－
108年 11月,5,11,3,5,5,4,2,－,1,3,－,－,2,2,－,4,－,2,2,2,－,－
108年 12月,8,9,6,8,12,7,2,2,－,2,7,1,－,1,－,4,2,2,1,3,1,－
109年 1月,9,6,3,5,11,4,3,－,－,1,3,3,－,－,－,－,－,－,2,2,2,－
109年 2月,13,10,5,4,6,7,2,－,1,1,4,4,1,2,－,4,－,1,1,3,1,－
109年 3月,8,4,7,3,5,9,2,2,－,2,4,3,1,1,－,1,－,1,－,3,－,－
109年 4月,6,11,5,2,9,5,1,2,1,1,8,4,－,2,－,2,－,3,1,2,－,－
109年 5月,8,9,1,4,6,4,3,1,－,2,1,6,3,2,－,2,1,1,－,1,－,－
109年 6月,5,5,7,5,6,9,4,2,3,－,4,1,4,－,－,1,－,2,－,1,－,－
109年 7月,7,4,3,3,6,10,2,1,1,4,2,1,－,1,－,3,－,3,－,1,－,－
109年 8月,10,4,5,1,7,3,3,2,－,1,5,2,2,2,－,2,1,4,－,1,－,－
109年 9月,8,4,2,5,4,11,3,1,－,1,4,2,－,－,－,2,1,1,1,－,－,－
109年 10月,8,5,1,1,9,3,1,－,3,4,－,3,－,1,－,－,2,3,2,－,－,－
109年 11月,8,5,2,－,8,6,5,3,1,2,1,－,3,2,1,1,1,7,－,－,－,－
109年 12月,4,3,10,3,3,5,2,－,22,1,1,2,2,1,－,2,1,5,3,1,－,－
110年 1月,5,5,4,4,2,3,1,3,2,2,1,2,2,1,1,－,－,3,1,－,－,－
110年 2月,4,3,2,4,6,11,2,－,1,1,1,－,3,1,2,－,－,3,1,2,－,－
110年 3月,9,4,7,4,3,5,2,3,4,－,4,1,2,3,－,1,2,1,－,－,－,－
110年 4月,11,4,6,5,7,7,3,3,1,－,1,2,1,6,－,2,1,5,2,－,1,－
110年 5月,7,6,3,4,5,4,－,3,－,2,2,1,4,7,－,－,1,7,－,－,－,－
110年 6月,7,3,5,4,2,2,－,4,－,1,－,1,2,1,1,1,1,1,－,2,－,－
110年 7月,6,5,5,4,5,2,1,3,4,2,3,2,－,1,－,－,－,1,1,－,－,－
110年 8月,11,6,2,3,8,4,2,3,2,3,1,2,1,2,1,－,－,－,－,－,－,－
110年 9月,5,6,3,5,2,2,3,－,2,1,3,2,4,4,2,－,2,2,－,－,1,1
110年 10月,6,4,9,8,3,5,3,1,－,1,－,1,2,1,1,1,1,－,1,－,－,－
110年 11月,11,3,6,3,2,2,－,4,2,4,－,1,1,－,－,1,－,－,1,－,2,－
110年 12月,12,6,9,3,2,4,1,1,1,－,－,1,1,1,－,1,1,－,－,2,1,－
111年 1月,7,1,4,4,2,7,－,1,1,1,1,1,1,1,－,1,－,－,－,－,－,－
111年 2月,10,2,2,1,3,1,－,1,1,3,1,1,3,4,1,－,－,－,－,－,1,－
111年 3月,9,6,7,2,5,3,－,1,－,2,1,1,1,2,－,1,－,1,1,1,－,－
111年 4月,5,3,7,7,5,2,－,1,－,2,1,2,1,4,1,－,5,2,－,2,－,－
111年 5月,12,2,4,2,3,3,1,1,－,－,3,3,－,1,－,1,3,－,－,1,－,－
111年 6月,5,6,4,4,6,4,－,5,3,3,2,1,－,－,－,2,－,－,－,2,－,－
111年 7月,4,5,3,2,3,4,1,－,1,1,1,3,－,－,－,1,－,－,－,－,－,－
111年 8月,6,5,5,2,3,3,－,2,4,2,2,2,1,1,1,3,1,1,1,1,－,1
111年 9月,12,6,9,－,4,1,1,3,1,－,－,3,1,3,1,1,－,1,－,－,－,－
111年 10月,8,3,5,2,2,4,2,1,－,－,2,1,－,2,2,1,2,－,－,3,－,－
111年 11月,9,5,2,－,3,1,1,2,1,1,－,1,－,－,－,－,1,1,－,2,－,－
111年 12月,5,1,6,2,4,5,－,3,4,4,1,1,1,2,4,1,1,1,1,1,－,－
112年 1月,6,2,6,－,5,4,－,2,2,－,1,2,－,1,－,－,－,1,－,－,1,－
112年 2月,5,3,6,1,5,2,2,1,2,3,1,－,－,－,－,－,1,1,－,2,1,－
112年 3月,4,3,3,1,3,1,1,－,－,1,－,－,2,5,－,4,1,1,－,－,－,－
112年 4月,9,4,2,－,6,5,1,－,－,1,1,－,3,1,－,2,2,－,－,－,－,－
112年 5月,6,6,－,1,4,1,1,－,－,1,3,－,2,－,－,－,3,3,1,－,－,－
112年 6月,4,6,2,－,5,1,－,－,－,2,－,1,4,2,－,－,3,2,－,－,－,2
112年 7月,6,1,2,3,6,6,1,1,－,1,3,1,－,3,1,－,－,4,－,3,1,－
112年 8月,6,3,1,2,2,3,1,3,1,1,2,4,1,1,－,2,－,1,－,2,－,－
112年 9月,6,4,1,6,1,4,4,－,1,4,1,1,1,2,－,－,－,1,－,－,2,－
112年 10月,8,2,1,3,3,2,1,2,1,1,1,1,1,1,－,－,－,－,－,1,－,1
112年 11月,3,4,1,－,2,1,－,3,－,1,3,1,－,1,－,－,1,2,－,2,2,－
112年 12月,10,4,4,2,4,1,1,1,3,1,1,1,－,－,1,－,－,2,－,3,－,－
113年 1月,3,2,－,5,6,－,－,1,1,－,2,1,1,2,－,－,－,－,－,1,－,－
113年 2月,4,4,2,2,6,1,－,1,－,1,3,1,－,1,－,－,－,1,－,－,－,－
113年 3月,2,1,2,1,4,2,－,2,2,－,－,1,－,2,－,1,1,2,－,－,1,－
113年 4月,8,3,2,1,－,－,－,3,2,2,1,－,－,－,－,1,2,3,－,2,－,－
113年 5月,6,5,1,1,6,2,－,－,2,－,1,2,1,1,－,1,2,1,1,2,－,1
